"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U4,U2,U1,U3";"DIP-16_W7.62mm_Socket_LongPads";4;"CD4052B";;;
2;"mouse-bite-1mm-3mm,mouse-bite-1mm-3mm,mouse-bite-1mm-3mm";"mouse-bite-1mm-3mm";3;"VAL**";;;
3;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
4;"J3";"DIP-28_W7.62mm_LongPads";1;"28pin ZIF";;;
5;"R22,R13,R18,R8,R16,R6,R10,R21,R14,R7,R11,R23,R20,R15,R12,R19,R9,R17,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";19;"1k";;;
6;"D5";"LED_D3.0mm";1;"MISO";;;
7;"C1,C2,C7,C6,C5,C3,C4";"C_Disc_D5.0mm_W2.5mm_P5.00mm";7;".1uF";;;
8;"SW4,SW5";"SW_PUSH_6mm";2;"SW_SPST";;;
9;"D13";"LED_D3.0mm";1;"INHIBIT";;;
10;"R3,R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"10k";;;
11;"Ref**,Ref**";"branding";2;"Val**";;;
12;"D9";"LED_D3.0mm";1;"A";;;
13;"D12";"LED_D3.0mm";1;"CLEAR";;;
14;"D6";"LED_D3.0mm";1;"MOSI";;;
15;"J2";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08";;;
16;"J4";"PinHeader_1x17_P2.54mm_Vertical";1;"Conn_01x17";;;
17;"D1,D3,D2";"LED_D5.0mm-4_RGB_Staggered_Pins";3;"LED_RKGB";;;
18;"SW1,SW2";"SW_Slide_SPDT_Straight_CK_OS102011MS2Q";2;"SW_SPDT";;;
19;"D4";"LED_D3.0mm";1;"VCC";;;
20;"D8";"LED_D3.0mm";1;"RESET";;;
21;"C8";"CP_Radial_D8.0mm_P3.50mm";1;"220uF";;;
22;"D7";"LED_D3.0mm";1;"SCK";;;
23;"D10";"LED_D3.0mm";1;"B";;;
24;"D11";"LED_D3.0mm";1;"ARM";;;
